symbol,name,reportDate,fiscalDateEnding,estimate,currency
ALGT,Allegiant Travel,10/31/2023,9/30/2023,0.45,USD
ALHC,Alignment Healthcare Inc,11/1/2023,9/30/2023,-0.18,USD
ALIF,ALIF,11/10/2023,9/30/2023,0,USD
ALIM,Alimera Sciences Inc,11/13/2023,9/30/2023,-0.06,USD
ALIT,Alight Inc - Class A,11/6/2023,9/30/2023,0.13,USD
ALIZY,ALIZY,11/10/2023,9/30/2023,0.7015,EUR
ALK,Alaska Air Group Inc,10/18/2023,9/30/2023,2.08,USD
ALKS,Alkermes plc,10/30/2023,9/30/2023,0.44,USD
ALKT,Alkami Technology Inc,11/1/2023,9/30/2023,-0.01,USD
ALL,Allstate Corp (The),11/1/2023,9/30/2023,0.72,USD
ALLE,Allegion plc,10/25/2023,9/30/2023,1.73,USD
ALLG,Allego NV,11/13/2023,9/30/2023,-0.01,EUR
ALLK,Allakos Inc,11/6/2023,9/30/2023,-0.46,USD
ALLO,Allogene Therapeutics Inc,10/31/2023,9/30/2023,-0.52,USD
ALLT,Allot Ltd,11/13/2023,9/30/2023,-0.27,USD
ALLY,Ally Financial Inc,10/18/2023,9/30/2023,0.81,USD
ALMC,ALMC,10/19/2023,9/30/2023,0,USD
ALMTF,ALMTF,11/13/2023,9/30/2023,,CAD
ALNAQ,ALNAQ,11/9/2023,9/30/2023,0,USD
ALNPY,ALNPY,10/31/2023,9/30/2023,0.117,JPY
ALNT,Allient Inc,10/31/2023,9/30/2023,0.53,USD
ALNY,Alnylam Pharmaceuticals Inc,10/25/2023,9/30/2023,-1.44,USD
ALOT,AstroNova Inc,12/5/2023,10/31/2023,0.12,USD
ALPMY,ALPMY,11/2/2023,9/30/2023,0.2348,JPY
ALPN,Alpine Immune Sciences Inc,11/13/2023,9/30/2023,-0.34,USD
ALR,ALR,10/31/2023,9/30/2023,,USD
ALRM,Alarm.com Holdings Inc,11/6/2023,9/30/2023,0.4,USD
ALRN,Aileron Therapeutics Inc,10/30/2023,9/30/2023,,USD
ALRS,Alerus Financial Corp,10/25/2023,9/30/2023,0.36,USD
ALSMY,ALSMY,11/14/2023,9/30/2023,0,EUR
ALSN,Allison Transmission Holdings Inc,10/24/2023,9/30/2023,1.71,USD
ALT,Altimmune Inc,11/8/2023,9/30/2023,-0.41,USD
ALTG,Alta Equipment Group Inc - Class A,11/7/2023,9/30/2023,0.05,USD
ALTO,Alto Ingredients Inc,11/6/2023,9/30/2023,0.09,USD
ALTR,Altair Engineering Inc - Class A,11/1/2023,9/30/2023,0.04,USD
ALTU,Altitude Acquisition Corp - Class A,11/14/2023,9/30/2023,,USD
ALV,Autoliv Inc,10/20/2023,9/30/2023,1.84,USD
ALVO,Alvotech,11/13/2023,9/30/2023,0,USD
ALVOF,ALVOF,11/13/2023,9/30/2023,,USD
ALVR,AlloVir Inc,11/1/2023,9/30/2023,-0.42,USD
ALX,Alexander`s Inc,10/30/2023,9/30/2023,,USD
ALXO,Alx Oncology Holdings Inc,11/6/2023,9/30/2023,-0.87,USD
ALXXF,ALXXF,11/23/2023,9/30/2023,,CAD
ALYA,Alithya Group Inc - Class A - Class A (Sub Voting),11/8/2023,9/30/2023,-0.0161,CAD
AM,Antero Midstream Corp,10/24/2023,9/30/2023,0.2,USD
AMADY,AMADY,11/7/2023,9/30/2023,0.7298,EUR
AMAL,Amalgamated Financial Corp,10/25/2023,9/30/2023,0.7,USD
AMAM,Ambrx Biopharma Inc,10/26/2023,9/30/2023,-0.0483,USD
AMAT,Applied Materials Inc,11/16/2023,10/31/2023,1.87,USD
AMBA,Ambarella Inc,11/29/2023,10/31/2023,-0.39,USD
AMBC,AMBAC Financial Group Inc,11/6/2023,9/30/2023,-0.18,USD
AMBK,AMBK,10/12/2023,9/30/2023,0,USD
AMBO,Ambow Education Holding Ltd,9/27/2023,6/30/2023,,CNY
AMBO,Ambow Education Holding Ltd,12/11/2023,9/30/2023,,CNY
AMBP,Ardagh Metal Packaging S.A.,10/26/2023,9/30/2023,0.0624,USD
AMBS,AMBS,11/20/2023,9/30/2023,0,USD
AMBZ,AMBZ,10/26/2023,9/30/2023,,USD
AMC,AMC Entertainment Holdings Inc - Class A,11/6/2023,9/30/2023,-0.43,USD
AMCF,AMCF,11/17/2023,9/30/2023,0,USD
AMCR,Amcor Plc,10/30/2023,9/30/2023,0.15,USD
AMCX,AMC Networks Inc - Class A,11/2/2023,9/30/2023,1.25,USD
AMD,Advanced Micro Devices Inc,10/30/2023,9/30/2023,0.68,USD
AME,Ametek Inc,10/30/2023,9/30/2023,1.58,USD
AMED,Amedisys Inc,10/24/2023,9/30/2023,1.05,USD
AMEH,Apollo Medical Holdings Inc,11/1/2023,9/30/2023,0.33,USD
